F72,F25,F65,F68,F101,F104,F105,F15-NA,F15-protected,F15-public,F22,F123,F77,F41,F126,F71-jcarman@apache.org,F71-pbenedict@apache.org,F71-britter@apache.org,F71-niallp@apache.org,F71-chas@apache.org,F71-oheger@apache.org,F71-brentworden@apache.org,F71-kinow@apache.org,F71-mcucchiara@apache.org,F71-ggregory@apache.org,F71-bayard@apache.org,F71-djones@apache.org,F71-joehni@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-sebb@apache.org,label
0.8160136286201023,0.8309945088468579,0.043103448275862065,1.0,0.23631623863624648,0.0,0.6576576576576576,0.0,0.0,0.0,1.0,0.6131505006840161,0.8115183246073299,1.0,0.015465650565953153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.8160136286201023,0.8309945088468579,0.043103448275862065,1.0,0.48240781852595754,0.0,1.0,0.0,0.0,1.0,1.0,0.5423879866566352,0.8115183246073299,1.0,0.015465650565953153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.2244388036895213,0.7284652186922023,0.6332046332046333,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.24315801997886866,0.7284652186922023,0.6332046332046333,0.0,0.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.23312017935994325,0.7284652186922023,0.6979332273449921,0.0,0.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.24722741482437893,0.7284652186922023,0.6979332273449921,0.0,0.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.028926989111893415,0.7284652186922023,0.48648648648648646,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.027480093166823084,0.7284652186922023,0.48648648648648646,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.03037388505696374,0.7284652186922023,0.48648648648648646,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.03182078100203407,0.7284652186922023,0.48648648648648646,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.024586301276682435,0.7284652186922023,0.48648648648648646,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.023139405331612108,0.7284652186922023,0.48648648648648646,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.02169250938654178,0.7284652186922023,0.48648648648648646,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.02603319722175276,0.7284652186922023,0.48648648648648646,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.03326767694710439,0.7284652186922023,0.48648648648648646,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.08969661880484713,0.7284652186922023,0.14414414414414412,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.08607937894217133,0.7284652186922023,0.14414414414414412,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.09331385866752295,0.7284652186922023,0.14414414414414412,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.09693109853019877,0.7284652186922023,0.14414414414414412,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.0788448992168197,0.7284652186922023,0.14414414414414412,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0.07522765935414387,0.7284652186922023,0.14414414414414412,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.2292950801300011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
